,index,Path3,Path8,Path14,Path65,Path66
0,730,251.5579161972088,929.3604080985864,413.3287647919349,0.0,0.0
1,731,0.0,940.3980239561099,566.7396143298122,0.0,0.0
2,732,0.0,794.1302090661712,636.1779704015388,0.0,0.0
3,733,0.0,353.92849560190126,237.48328457757026,0.0,0.0
4,734,0.0,563.6332152039787,8.219014997293954,0.0,0.0
5,735,0.0,1016.7889698336103,552.4974879100569,0.0,0.0
6,736,0.0,867.8873367609585,478.9611285830224,0.0,0.0
7,737,0.0,817.1613486816797,350.5023298415312,0.0,0.0
8,738,0.0,935.8412692183473,644.2537887094193,0.0,0.0
9,739,0.0,1256.2295244755007,603.4472285865012,0.0,0.0
10,740,0.0,719.6007595550633,707.5844800227602,0.0,0.0
11,741,0.0,887.1225838540793,675.234260995148,0.0,0.0
12,742,0.0,1439.820792199818,0.0,0.0,0.0
13,743,0.0,1686.0187671074955,347.75791454194535,0.0,0.0
14,744,0.0,1492.4909938750882,388.03729097552866,0.0,0.0
15,745,1370.2342453391032,1695.8227676887188,763.768660362,0.0,0.0
16,746,254.62554796886718,1454.4337372410746,571.8691940787138,0.0,0.0
17,747,0.0,868.6265519043775,226.92518059453815,0.0,0.0
18,748,0.0,1146.6608068773205,1001.91841834873,0.0,0.0
19,749,0.0,1044.1403166711518,435.1858726371446,0.0,0.0
20,750,19.1161041211123,1119.1695926039793,304.15834896365305,0.0,0.0
21,751,0.0,1024.8131022330697,537.4511287312037,0.0,0.0
22,752,17.279892586611027,1087.5806199773829,260.5949136666034,0.0,0.0
23,753,18.679190730084255,1215.269162404576,493.0622593702943,0.0,0.0
24,754,0.0,709.1470850383391,638.773209947483,0.0,0.0
25,755,0.0,1064.8604253599306,456.168118595896,0.0,0.0
26,756,0.0,1137.2448530175302,669.4879462909332,0.0,0.0
27,757,0.0,1009.9207270081972,483.17638183398714,0.0,0.0
28,758,0.0,1212.1662070267446,199.88488965304825,255.9369714187196,0.0
29,759,314.7686526311745,1386.463644839274,0.0,0.0,0.0
30,760,346.77156269285,1329.6614942758342,0.0,0.0,0.0
31,761,334.0766275950179,1531.0269344179555,425.76644706872185,0.0,0.0
32,762,66.46562936598474,1391.2271474765475,754.3766099990156,0.0,0.0
33,763,0.0,1687.0937879013932,465.2323392286413,0.0,0.0
34,764,0.0,1569.8319960807662,324.18315483728793,0.0,0.0
35,765,0.0,1511.3540139165075,820.6810914255657,0.0,0.0
36,766,0.0,1113.9399904414183,0.0,0.0,0.0
37,767,0.0,964.5490305626314,1.5709478814411852,0.0,0.0
38,768,0.0,1348.634199445206,1124.9615147436757,0.0,0.0
39,769,27.583318169733843,1542.7801381509148,539.8460171019245,0.0,0.0
40,770,114.81895116092105,1514.3701382649374,431.70435182831255,0.0,0.0
