,Albany,Goshen,Harrisburg,Jasper,Jefferson,Mehama,Monroe,Salem,Vida,Waterloo,BLU5A,CGR5A,DET5A,DOR5A,FAL5A,FOS_loc,FRN5M,GPR5A,GPR5H,HCR5A,HCR5H,LOP_loc,LOP5E,DEX_loc,BCL_loc,COT5A
1408,1.6511506889353382,7.439461541177593,1.2427242145745296,4.809109899943558,-22.969789308456203,2.4232318986890475,3.3614105045323996,14.75060966787051,2.702900114782821,475.88678471612894,351.782881265996,1409.4742157008832,406.6890061486582,143.62305575388163,282.69360526660387,278.2560450459244,-19.892267268696138,614.9259639403722,491.9835469185397,584.6376149534684,4.2220528668006585,0.3691261918541399,0.0,0.0,0.0,2220.0134474062093
1409,2.122077469934501,-2.600787368053956,-0.546798654412793,11.079215212528196,-19.000744832362667,3.367419102457528,6.722821009064799,1.5885271950014397,2.94131251341084,398.55308983788353,510.2593277769149,1651.4782791514124,473.73534989550865,234.89090891767842,433.18224090603997,313.2995695159939,68.51780948106446,886.1044946221514,708.9452353111877,491.33381901861947,4.2220528668006585,0.3103379467809453,0.0,0.0,0.0,2709.7222960987547
1410,4.348805335646594,10.705566608036053,3.479627800808683,15.766575494751663,-24.320953385424207,3.37287683195908,10.457721569656355,-1.1346622821438854,2.8770215295111496,562.4268718417845,459.7558448228858,1483.937004454892,464.32533673805597,222.8633623767129,488.03323894284347,277.2099696886089,-39.78453453739228,809.7161761202417,647.8292667498785,445.67451462497,4.2220528668006585,0.28154370429611536,0.0,0.0,0.0,1697.6573421341598
1411,0.09302257402452607,9.37493121042705,2.783702240646946,12.357586198589143,-44.08172801108139,2.712491562271299,5.9758408969464885,16.112204406443173,2.7471001662138583,950.9366246824936,377.9053724491145,1281.8237206940107,384.6342878108785,201.63828024559737,375.51837117504107,240.07429450390848,-296.173757111698,672.2172028168045,537.8205233395216,348.40034439502114,2.1110264334003292,0.22035593901585165,0.0,0.0,0.0,2285.307960565216
1412,0.7848779683319388,4.899157600287683,3.1316650207278145,14.122955655530449,-56.917786742277485,1.217073678846076,6.536075981035222,1.3615947385726623,2.668075831837155,1166.7009811717971,330.8848883195011,1217.9984731905745,428.4496615752676,166.26314336040483,320.6673731382373,221.2449380722294,-221.02519187440154,585.8984029096466,468.75947886524216,350.38553154257113,2.1110264334003292,0.22155569911938625,0.0,0.0,0.0,1436.4792894981354
1413,0.15697559366638775,14.576505946534965,3.5790457379746456,12.722835051749414,-51.259787169973954,1.855628030527649,10.457721569656355,13.389014929297847,2.556906005510608,1079.156560346424,294.3134006631352,1202.0421613147155,355.52205960500925,129.47300099980464,282.69360526660387,200.846468604577,-287.33274943672194,526.3155144781572,421.08902338742104,402.99299095264547,2.1110264334003292,0.25474906198384306,0.0,0.0,0.0,1436.4792894981354
1414,-0.1976729698021179,12.157168859973142,3.3056464107682486,12.174961772009008,-12.413819957143609,1.326228268877114,51.168137680104316,13.615947385726624,2.473863484640174,314.18905906161586,269.9324088922246,1138.2169138112793,348.4645497369197,88.43784221298132,253.15845247755573,183.58622520887118,-128.1946112871529,475.1353410818776,380.1413244513437,405.9707716739703,2.1110264334003292,0.25634874212188913,0.0,0.0,0.0,1436.4792894981354
1415,-0.918597918492195,5.322541590436003,4.637846768792144,7.061477827765224,-22.547550534403697,1.1188345478181414,5.415605812857755,20.423921078589935,2.4510937611757004,494.46695816090215,243.8099177091061,1010.5664188044068,341.7011027800006,82.77782031135052,236.28122231238538,171.55635859974288,194.50216884947326,441.5244809410375,353.25029828436766,357.33368655899596,2.1110264334003292,0.22595481949901305,0.0,0.0,0.0,1926.1881381906812
1416,-0.06395301964186167,4.536257037303411,2.092747577343508,4.9917343265236935,-17.90292401982616,2.3086195791564577,4.295135644680289,34.49373337717412,2.4577907386652518,495.80606976052536,235.10242064806656,983.9725656779754,431.9784165093123,72.16527924579275,236.28122231238538,167.37205717048087,125.98435936840885,426.2468172406556,341.0271045721058,359.318873706546,2.1110264334003292,0.2271545796025476,0.0,0.0,0.0,1436.4792894981354
1417,1.604639401923075,10.040248909231552,3.22114116417718,4.9917343265236935,-22.04086400554069,1.9156630550447205,3.5481555325619767,16.793001775729508,2.4122512917363044,485.7627327633508,215.94592711377967,944.0817859883273,367.5786389629955,85.6078312621659,219.4039921472149,154.81915288269482,125.98435936840885,391.1081907297772,312.9137590339036,309.6891950177965,2.1110264334003292,0.19556089687613692,0.0,0.0,0.0,1599.7155723956507
1418,0.05813910876532879,3.145138212530365,3.1416068144444114,2.982865634142206,-25.16543093352921,0.6112657041738139,5.9758408969464885,12.254352647153961,2.39082096376974,477.3932852657052,200.27243240390857,930.7848594251117,154.6770912756285,75.702792934312,206.74606952333718,149.5887760961173,101.67158826222472,368.19169517920426,294.57896846551074,310.6817885915715,2.1110264334003292,0.19676065697967154,0.0,0.0,0.0,1926.1881381906812
1419,0.8313892553442018,2.1774033779056383,1.133364483691971,-0.4261236620203153,-23.3075803276982,1.8065084650136825,4.481880672709866,14.523677211441731,2.437699806196598,429.52004557917235,283.8644041898878,1162.1513816250674,427.8615357529267,86.31533399986976,305.19657882016435,198.2312802112883,503.9374374736354,500.3434861875078,400.30959407657576,626.326545052018,4.2220528668006585,0.3955209141319007,0.0,0.0,0.0,1926.1881381906812
1420,6.540649736099489,184.23251914168256,-98.17521295138785,252.87395600462708,64.26474141079106,42.43930460406765,39.96343599832965,-280.03465123311094,10.257090722996457,-3072.089398485795,7230.7055594872045,13270.332710089446,2748.311967798525,5490.928747319584,8354.22893175934,4018.4984851275135,4312.2014934695735,11687.412730792168,9350.74318988032,6128.272724486781,80.2190044692125,3.871225934071586,0.0,0.0,0.0,100520.90300828996
1421,88.52260700608964,953.0978452510286,84.0081569052382,579.5281803476289,242.95619058981063,25.01277430561241,173.48613103947773,-242.81772837879143,11.427722388169988,-1527.9263351701816,3636.250772690097,9520.599419262571,1790.843129027714,9565.437013756058,11082.714475128552,3817.1289788442796,9941.71313051058,5599.263746189973,4479.80049554397,8943.26809971265,92.88516306961449,5.651669927716907,0.0,0.0,0.0,193892.05682566878
