45123,705.8,6394.6,9930.7,9445.1,9208.8,8878.8,17211,29083,26050,20857,26584,2032
52970,667.5,6389.5,9725,9244.8,9017.1,8698.7,18609,31429,26781,21094,26788,2032.1
53560,638.9,6382,8880.5,8424.7,8229.8,7957.5,18133,29915,25260,20032,27129,2032
48898,613.88,6372,9635.1,9157.3,8933.2,8619.8,17572,28647,24049,19192,27194,2031.8
53607,607.75,6360.7,8789.5,8336.4,8144.9,7877.4,17942,29037,24226,19244,27254,2031.7
50882,624.09,6349.3,8592.9,8146.1,7961.7,7704.5,17231,27736,23193,18566,26679,2031.4
49838,632.77,6336.5,8564.4,8118.5,7935.1,7679.4,17030,27333,22875,18469,26641,2031.6
52615,599.06,6323.7,8234.5,7799.6,7627.5,7388.8,17460,27991,23337,18766,25866,2031.7
50615,606.73,6310.9,8240.8,7805.6,7633.4,7394.3,17116,27402,22850,18495,26236,2031.6
57614,651.16,6305.3,8698.7,8248.5,8060.3,7797.6,18902,30317,25040,20766,27297,2032
65594,746.66,6308.1,9599.8,9122.9,8900.3,8588.8,20629,34510,28800,22352,27903,2032.2
58387,726.74,6306.5,9860,9376.2,9142.9,8816.9,20300,33094,27952,22375,27774,2197.7
68752,703.25,6301.1,9292.2,8824,8613.6,8319,20580,36038,29782,22316,27853,2032.4
58714,693.55,6299.3,9361.1,8891,8677.8,8379.6,19904,32461,27334,21815,26581,2460.7
66859,638.9,6296.3,9158,8693.7,8488.5,8201.2,20631,34990,29084,22591,25991,2032.4
68558,604.17,6290.9,9257.7,8790.6,8581.5,8288.8,20608,35583,29298,22583,26476,2463.9
57929,590.38,6285.4,8990.8,8531.6,8332.7,8054.4,19244,31411,26295,21218,27367,2032.4
61865,568.42,6277.4,9087.8,8625.6,8423,8139.6,20164,33076,27705,21946,28030,2032.2
58834,545.95,6268.3,9240.2,8773.6,8565.2,8273.5,19571,32814,27365,21573,28272,2032.1
58410,534.71,6259.2,8882.8,8426.9,8232,7959.5,19179,31794,26525,21035,28127,2032
53454,508.67,6248.8,8910.3,8453.5,8257.6,7983.6,18131,29759,24979,19990,28099,2031.9
64072,493.86,6235.9,8555.9,8110.3,7927.2,7671.9,20053,32749,27024,21180,28035,2031.3
65601,486.71,6224.1,8598.8,8151.8,7967.2,7709.6,20356,33112,27227,21250,27041,2031
62761,486.71,6210.3,8177.3,7744.3,7574.2,7338.3,19487,31568,26018,20462,26729,2031.1
61642,481.6,6194.8,8379.4,7939.6,7762.6,7516.5,19362,31300,25767,20270,25980,2030.7
60778,475.47,6181.7,8140.4,7708.7,7539.8,7305.8,19012,30669,25251,19919,26598,2030.4
58711,460.66,6167.3,8073.4,7644,7477.3,7246.7,18524,29824,24576,19478,27045,2030
