,index,PGE_valley,SCE
0,730,40975.219127637494,1985.0925730431431
1,731,40975.219127637494,1985.0925730431431
2,732,40975.219127637494,1985.0925730431431
3,733,40975.219127637494,1985.0925730431431
4,734,40975.219127637494,1985.0925730431431
5,735,40975.219127637494,1985.0925730431431
6,736,40975.219127637494,1985.0925730431431
7,737,28899.50456709463,4104.593190132386
8,738,28899.50456709463,4104.593190132386
9,739,28899.50456709463,4104.593190132386
10,740,28899.50456709463,4104.593190132386
11,741,28899.50456709463,4104.593190132386
12,742,28899.50456709463,4104.593190132386
13,743,28899.50456709463,4104.593190132386
14,744,39393.04243056083,2551.5710781469224
15,745,39393.04243056083,2551.5710781469224
16,746,39533.22622978288,2546.184440085323
17,747,39475.251221789695,2519.3709160495578
18,748,39523.51800264999,2471.0882276224133
19,749,39459.386813726196,2410.1754419054737
20,750,39415.901920774675,2350.974509540303
21,751,48372.20238326458,839.4635427585727
22,752,48016.97291086138,782.1524943032359
23,753,47843.85560728688,760.1460206806566
24,754,47858.45617362527,745.9176087724354
25,755,47816.97106434569,752.4033561329788
26,756,47830.53309319913,738.5954692561281
27,757,47875.41850880103,739.0442733418095
28,758,55627.865446641525,3383.010020034376
29,759,55766.560256145516,3371.769593264644
30,760,55836.069944691924,3362.2405574122768
31,761,55956.78002299601,3350.714767720823
32,762,56169.17204194427,3344.56538172362
33,763,56584.101456362434,3328.180972669527
34,764,56933.758986745444,3327.768673858199
35,765,54282.39975367066,3850.803742690369
36,766,54162.81838535154,3840.8645341356278
37,767,54035.77446893359,3822.2509825118436
38,768,53474.4898611794,3806.9112087170042
39,769,53002.08321755917,3788.8364970194057
40,770,52846.32790690397,3807.3457922042503
41,771,53069.54708449876,3820.770088523709
42,772,49823.83641557959,3895.167986679518
43,773,49382.15002294829,3901.1804183677846
44,774,49050.08486106928,3956.2766782741414
45,775,48803.02054382676,4013.6992283922314
46,776,48361.448520744176,4061.4478683048687
47,777,48399.2113549158,4113.099431805175
48,778,48315.181387137665,4151.573433779706
49,779,54078.448910919746,5316.622639245248
50,780,53983.411011736694,5354.834741886873
51,781,53968.169358505525,5394.705447049802
52,782,54009.14546510268,5433.856785845643
53,783,53755.57723988198,5418.741802754641
54,784,53343.013796970794,5408.665935881605
55,785,53120.70449368017,5407.650541450281
56,786,54918.310425297,6208.943049232874
57,787,54612.99376109312,6199.924221162696
58,788,54392.18838505054,6184.276567222267
59,789,54203.30096027031,6176.15360294506
60,790,54044.57932107091,6169.771295995831
61,791,54061.44740876715,6154.43073161583
62,792,54203.74973960958,6122.838109418788
63,793,61382.20568178296,8897.393876300188
64,794,60960.58516788778,8858.131280008884
65,795,60775.35184504491,8821.965461277201
66,796,60719.57087240138,8783.394156889179
67,797,60704.385574282845,8741.903386788543
68,798,60697.10231654839,8695.470443488108
69,799,60780.41115829679,8457.337608826147
70,800,65998.18593887053,5992.217945981927
71,801,65505.54222369949,5727.450249466946
72,802,64982.733654598705,5457.241318531033
73,803,64701.61430741084,5182.833310842345
74,804,64344.783896314926,4892.578674427986
75,805,64052.96616004194,4636.171170696297
76,806,64533.01239207357,4346.625671309746
77,807,58849.79593168444,3754.6624532804935
78,808,58597.49041681083,3539.6060440655046
79,809,58318.21556538382,3270.309337776025
80,810,58215.139722426065,3097.893193115703
81,811,58055.32906550022,2885.962065472062
82,812,57985.717116892425,2610.6285875202793
83,813,58079.88582486665,2575.6885372803827
84,814,56596.96916539711,2710.3867177004067
85,815,56724.066954801296,2604.388826536262
86,816,56744.30382586435,2564.384956055971
87,817,56779.74584351773,2374.8908174716826
88,818,56788.787565254424,2351.617730709725
89,819,56671.45697546761,2327.91766790569
90,820,56794.026271748524,2304.7215889573436
91,821,61344.8509557557,14879.889604157917
92,822,60917.641902824806,14889.19674335296
93,823,60560.14908103849,14890.37547864085
94,824,60280.7708673052,14913.436992039926
95,825,60212.995388441,14914.114223381006
96,826,60122.36955892629,14906.007326610747
97,827,60208.06667179211,14873.688268312235
98,828,59661.97075131,11496.397930535142
99,829,59483.28587858706,11487.700401429101
100,830,59554.38290250144,11520.89545829393
101,831,59595.41788774904,11540.413504745526
102,832,59608.575601995864,11530.217999642307
103,833,59664.053882436165,11693.79426594183
104,834,59891.04794264208,11709.488544372229
105,835,59322.11220678443,10870.029978865326
106,836,59020.81651448805,10901.938044854436
107,837,58730.10936675951,11067.625344509393
108,838,58564.34242203781,10985.936567041052
109,839,58389.6522079891,10789.995905894126
110,840,58275.1218952514,10617.31885284082
111,841,58110.885679491745,10394.467421532645
112,842,57111.327669777704,10273.520680956077
113,843,56922.82456110515,9892.384693495955
114,844,56665.25808521597,9600.205752868223
115,845,56174.50050438068,9279.076119976702
116,846,55802.27458492847,8835.095445754276
117,847,55643.04347251379,8548.79513495645
118,848,55533.09213603322,8150.582857628073
119,849,57324.349029494624,12758.823011590248
120,850,56953.97653799049,12405.994014796257
121,851,56672.762128670336,12113.310545851322
122,852,56278.25998011762,11854.3762062088
123,853,55941.70644814158,11416.836025690136
124,854,55932.99365549734,11008.21825288895
125,855,55818.83480457781,10777.088533438713
126,856,54774.14175598958,10388.941607690023
127,857,54377.79746412525,10040.164969776022
128,858,54079.819335812615,9782.025700505095
129,859,54104.08124733895,9614.284098039498
130,860,54024.0558125334,9361.282798807682
131,861,54102.43122347301,9219.788722023663
132,862,54146.21434162899,9122.525247866884
133,863,52872.93980167263,8881.940061634672
134,864,52813.17744867323,8734.09704485067
135,865,52700.69756412977,8496.114220593066
136,866,52489.76297578867,8368.318004879467
137,867,52521.310281778904,8063.978693939705
138,868,52621.24186522542,7833.131068242907
139,869,52680.41296979028,7961.724005784101
140,870,47740.65981514503,7880.090008123301
141,871,47638.472568288766,7970.2991675043395
142,872,47524.75219331347,7991.54064641058
143,873,47285.958869216236,8176.317892235722
144,874,46902.42517076824,8355.417739724628
145,875,46735.53474060243,8411.215794172676
146,876,46587.76517039238,8671.159830194942
147,877,39176.91628421079,8617.88647586272
148,878,38714.05310858172,8714.575143849235
149,879,38086.71993269496,8972.621467797519
150,880,37563.55119018384,9182.977074004695
151,881,37139.0089904142,9423.59833824967
152,882,37213.78557046632,9615.151401878371
153,883,37565.97025431118,9909.402786317698
154,884,34545.961094088765,8402.415851713335
155,885,34633.863309976674,8508.66512109662
156,886,34607.69364386637,8811.828905996526
157,887,34444.38725348546,9144.606200606428
158,888,34182.26210949952,9545.14347489536
159,889,33954.99580026935,9877.092915172829
160,890,33885.53728646937,10285.67652155658
161,891,32195.83140000621,11768.910562477527
162,892,31676.196163559653,12075.704219721281
163,893,31285.88321108404,12382.9210208775
164,894,30905.435258673904,12759.908972775385
165,895,30719.251453534333,13080.740452649283
166,896,30538.844985077103,13410.792332122293
167,897,30547.524001849095,13796.375331584966
168,898,27088.207922726906,9887.339803902283
169,899,26874.69112100926,10166.993815932025
170,900,26757.2661423985,10534.941438502474
171,901,26650.78716075056,10802.45498276315
172,902,26580.923992593125,11138.586594229855
173,903,26711.776214676604,11313.853461428753
174,904,26896.231554140737,11480.164226856345
175,905,25306.41127208874,11275.9674737622
176,906,25168.09915556036,11401.361989523586
177,907,25190.508120189515,11654.421808211362
178,908,25410.385203980244,11946.858739380868
179,909,26107.709992192595,12059.859548644788
180,910,26604.0661912347,12186.02892336016
181,911,26976.60014799981,12219.921187998632
182,912,23191.594730502613,10776.805856007668
183,913,22748.348890448007,10912.199599506588
184,914,22522.853397417064,11023.648049062911
185,915,22131.81525265499,11158.69804439197
186,916,21734.563449421097,11261.08166955276
187,917,21662.693246323797,11336.197029512698
188,918,21735.85155968155,11423.385825717336
189,919,20625.762605142903,8012.4120007240035
190,920,20237.106089458837,8056.455846782491
191,921,19757.229541141336,8085.6507015675625
192,922,19850.37051093294,8133.573452252278
193,923,19876.290913605713,8172.412179488796
194,924,19919.325390812362,8199.067764205824
195,925,20028.175364695984,8233.646914462035
196,926,17793.448168297004,6334.232628823599
197,927,17466.779246843176,6338.749964946222
198,928,17578.964101587928,6345.402229726172
199,929,17793.791060412426,6371.940029533796
200,930,17772.276424321528,6390.1340435803595
201,931,17956.251328082202,6447.894213446427
202,932,18355.039053439046,6512.854590056221
203,933,17621.87865097572,6522.514549531057
204,934,17594.98203743402,6597.510297238078
205,935,17739.782048851222,6729.692961016852
206,936,17918.496017908798,6816.514929325018
207,937,18147.48341314699,6891.033532630445
208,938,18390.827427003765,6895.30131709785
209,939,18321.39326545298,6943.189606617261
210,940,15411.727982537006,6211.412051004792
211,941,15561.8279290762,6205.750348053623
212,942,15959.385500817541,6176.147484980836
213,943,16306.981144461519,6148.016960530029
214,944,16537.143335262805,5994.056842901756
215,945,16829.30530030415,5993.856645281422
216,946,17379.867031403024,6011.93915141888
217,947,15188.541781438944,4478.397995540702
218,948,15354.009617462118,4463.801883383989
219,949,15653.19961432882,4462.457731629979
220,950,15951.324697048825,4464.867029139783
221,951,16390.49925224482,4453.429880069045
222,952,16798.914685376578,4440.966954013474
223,953,17245.43875576376,4415.898892345435
224,954,15207.60199627794,4466.2479931891
225,955,15360.15890360715,4429.968674000356
226,956,15857.005173390367,4364.093823339141
227,957,16391.00744485174,4344.05820609204
228,958,16607.468346709495,4342.654673636435
229,959,16904.179693445738,4310.976407914936
230,960,17582.572812050996,4336.129183008878
231,961,17156.854486604916,4651.851426102545
232,962,17208.84264231538,4580.319112838133
233,963,17307.879153810005,4547.991671152596
234,964,17674.96099986614,4506.138666385606
235,965,17937.775020257657,4417.8842879036065
236,966,18219.62418857887,4377.487031933559
237,967,18228.474729586964,4382.687931093555
238,968,16909.97230064472,3620.657202605446
239,969,16962.126981949023,3573.3245510183688
240,970,17084.021062434942,3547.2246687354454
241,971,17098.659593968136,3548.246436772834
242,972,17218.117271472856,3575.073992482133
243,973,17640.705072059678,3570.349469792638
244,974,18088.778773576763,3740.9356753497004
245,975,17386.506744551312,1698.034187739223
246,976,17474.559040127406,1634.9849148598869
247,977,17591.900489509528,1635.9985333428067
248,978,17754.02854485542,1608.7602359768325
249,979,18169.300582691314,1589.2611854990328
250,980,18706.425757280915,1537.6636985061718
251,981,19174.103598160116,1502.8719144813958
252,982,18904.075092693383,0.0
253,983,19242.30058494995,0.0
254,984,19156.777971984848,0.0
255,985,19524.191920377838,0.0
256,986,19663.254649965682,0.0
257,987,19935.45492855794,0.0
258,988,20319.482364027208,0.0
259,989,18323.747075641957,0.0
260,990,18235.5664159023,0.0
261,991,18570.15765654743,0.0
262,992,18963.407554141035,0.0
263,993,19202.750505445034,0.0
264,994,19475.11188200413,0.0
265,995,19798.751376869976,0.0
266,996,18170.31639660783,0.0
267,997,18589.92667046021,0.0
268,998,18784.65211795969,0.0
269,999,19060.70284990259,0.0
270,1000,19266.85425348307,0.0
271,1001,19550.211564667476,0.0
272,1002,19672.865504527552,0.0
273,1003,26547.422662402223,1304.9165057151076
274,1004,26585.407303126336,1291.0448163727224
275,1005,26621.202847552788,1290.172613749824
276,1006,26762.766004566456,1329.4173561259108
277,1007,26880.49714150641,1334.754222914477
278,1008,27121.285734361085,1366.7265649107626
279,1009,27104.627125433883,1391.4641160238752
280,1010,31075.653959203282,0.0
281,1011,30968.247215913685,38.08179404543125
282,1012,30792.838222522183,121.7442100754165
283,1013,30732.05784779066,178.77008528305987
284,1014,30855.15299037674,202.5708357337876
285,1015,30623.76578466954,276.51880765420856
286,1016,30402.32448122874,287.4387849836262
287,1017,26647.430646494482,104.40452211919364
288,1018,26514.328709870482,127.28570063389361
289,1019,26288.383596305684,226.36640568704343
290,1020,26130.308018178483,265.6172257273556
291,1021,26000.36021901128,288.27686648429244
292,1022,25710.20702732008,341.79827777305354
293,1023,25654.15019948248,371.5613886873539
294,1024,35926.64559324013,0.0
295,1025,35854.74306573054,0.0
296,1026,35925.01585973933,0.0
297,1027,35861.661567643765,0.0
298,1028,35755.840387747754,0.0
299,1029,35667.656168396985,0.0
300,1030,35679.18832213677,0.0
301,1031,40854.77671638336,431.980261148723
302,1032,40779.06142684176,473.07191741704855
303,1033,40876.723026714826,489.04981533649834
304,1034,40744.056160735636,518.8976143906502
305,1035,40642.20540220425,568.3332233821027
306,1036,40636.26649208374,560.9618394290094
307,1037,40643.34960711212,563.3101075325692
308,1038,58130.20324556467,4290.999022643331
309,1039,58157.442658462925,4312.242631783725
310,1040,58358.717587576335,4347.705662588208
311,1041,58194.90017331408,4363.071319535304
312,1042,58348.44903446401,4316.741303684901
313,1043,58322.112379328326,4297.623919975195
314,1044,58246.23435793185,4293.826982192733
315,1045,58199.648691772905,4987.114451364467
316,1046,58325.02426563771,4984.954153224387
317,1047,58456.43000661771,4939.180907401771
318,1048,58420.50938583125,4903.3485719662085
319,1049,58288.805004409645,4867.582571423464
320,1050,58345.1192572181,4855.4358072264295
321,1051,58206.12600978627,4863.62948395403
322,1052,71054.18906721774,5177.7699018443345
323,1053,70856.00386067608,5167.197322134014
324,1054,70659.40469898327,5141.558416928983
325,1055,70609.17737622728,5084.859705978947
326,1056,70376.79766660248,5040.070825405595
327,1057,70155.69799892978,5030.193517161186
328,1058,70047.68677685248,4987.597438600134
329,1059,81560.18955702434,6120.771525255352
330,1060,81299.68498257887,6142.512678791664
331,1061,81094.99523537321,6156.149319933667
332,1062,80917.550458023,6154.547813122568
333,1063,80634.61343365152,6160.395310189402
334,1064,80532.54749188393,6143.93758060112
335,1065,80480.02561173549,6125.281446444932
336,1066,70450.46619831315,1785.4446513207513
337,1067,70146.09463177116,1807.0740372021232
338,1068,69782.29202058897,1770.8546737206284
339,1069,69441.9125921011,1745.8796783543776
340,1070,68980.1205948973,1705.457225959608
341,1071,68911.94496040835,1678.7027305860656
342,1072,68617.41777842192,1687.6013924473505
343,1073,64926.41497378421,1225.5568945258274
344,1074,64965.760877555396,1188.7231274743876
345,1075,64968.1224746898,1193.5786909061271
346,1076,64989.1032665002,1199.901822812555
347,1077,64894.061212770604,1192.703995349074
348,1078,64924.05960304346,1171.01899583472
349,1079,65109.862420945065,1117.9486341975762
350,1080,62107.75791070546,7041.659375596111
351,1081,62107.75791070546,7041.659375596111
352,1082,62107.75791070546,7041.659375596111
353,1083,62107.75791070546,7041.659375596111
354,1084,62107.75791070546,7041.659375596111
355,1085,62107.75791070546,7041.659375596111
356,1086,62107.75791070546,7041.659375596111
357,1087,63515.0626233301,6027.596995318052
358,1088,63515.0626233301,6027.596995318052
359,1089,63515.0626233301,6027.596995318052
360,1090,63515.0626233301,6027.596995318052
361,1091,63515.0626233301,6027.596995318052
362,1092,63515.0626233301,6027.596995318052
363,1093,63515.0626233301,6027.596995318052
364,1094,63515.0626233301,6027.596995318052
